Address, City, State, Zip Code, Latitude, Longitude
1205 N. Memorial Parkway, Huntsville,Alabama,35801-5930,34.7436409,-86.602698
3650 Galleria Circle, Hoover,Alabama,35244-2346,33.3794067,-86.8127355
8251 Eastchase Parkway, Montgomery,Alabama,36117,32.3644178,-86.1503718
5225 Commercial Boulevard, Juneau,Alaska,99801-7210,58.3593108,-134.4824689
330 West Dimond Blvd, Anchorage,Alaska,99515-1950,61.1432681,-149.8840901
4125 DeBarr Road, Anchorage,Alaska,99508-3115,61.2101347,-149.8065607
3911 Highway 69, Prescott,Arizona,86301-6717,34.5477827,-112.3965202
3901 West Costco Drive, Tucson,Arizona,85741-2864,32.3263181,-111.0487734
6255 East Grant Road, Tucson,Arizona,85712-5834,32.2514271,-110.8598192
17550 N. 79th Ave., Glendale,Arizona,85308-8711,33.6423488,-112.2326407
2887 S Market St, Gilbert,Arizona,85296-6303,33.2961656,-111.7449103
1445 West Elliot Road, Tempe,Arizona,85284-1103,33.3468828,-111.9619117
15255 North Hayden Road, Scottsdale,Arizona,85260-2507,33.622988,-111.9007546
1415 North Arizona Avenue, Gilbert,Arizona,85233-1616,33.3760894,-111.8401952
595 S Galleria Way, Chandler,Arizona,85226-4932,33.2934732,-111.8988735
1444 S Sossaman Rd, Mesa,Arizona,85209-3400,33.3888937,-111.6693552
2450 E Beardsley Rd, Phoenix,Arizona,85050-1300,33.6713472,-112.0288141
19001 N. 27th Ave, Phoenix,Arizona,85027-5036,33.6593567,-112.1154637
3801 N. 33rd Avenue, Phoenix,Arizona,85017-4508,33.4921571,-112.1279384
1646 W. Montebello, Phoenix,Arizona,85015-2557,33.5207979,-112.0952199
4502 East Oak Street, Phoenix,Arizona,85008-2411,33.473577,-111.9842538
10000 W. McDowell Road, Avondale,Arizona,85323,33.4673339,-112.2744376
4570 E Cactus Rd, Phoenix,Arizona,85032,33.6034282,-111.9859831
2345 Fenton Pkwy, San Diego,California,92108-4743,32.782091,-117.1287367
1300 Dana Drive, Redding,California,96003-4071,40.5862928,-122.3448175
2100 Dr Martin Luther King Jr Way, Chico,California,95928-4422,39.7210766,-121.8114723
7981 East Stockton Boulevard, Sacramento,California,95823-9606,38.468475,-121.414341
1600 Expo Parkway, Sacramento,California,95815-4228,38.5971392,-121.4533264
